timestamp,event,ticker,price
2025-04-28T09:36:21.433196-04:00,VIX25,VOO,507.22
2025-04-28T09:36:21.433224-04:00,VIX25,QQQM,194.45
2025-04-28T09:57:19.007898-04:00,VIX25,VOO,507.22
2025-04-28T09:57:19.007921-04:00,VIX25,QQQM,194.45
2025-04-28T10:18:54.853469-04:00,VIX25,VOO,507.22
2025-04-28T10:18:54.853501-04:00,VIX25,QQQM,194.45
2025-04-28T10:45:33.532591-04:00,VIX25,VOO,507.22
2025-04-28T10:45:33.532618-04:00,VIX25,QQQM,194.45
2025-04-28T10:55:34.689017-04:00,VIX25,VOO,507.22
2025-04-28T10:55:34.689041-04:00,VIX25,QQQM,194.45
2025-04-28T11:14:36.970154-04:00,VIX25,VOO,507.22
2025-04-28T11:14:36.970183-04:00,VIX25,QQQM,194.45
2025-04-28T11:33:35.966699-04:00,VIX25,VOO,507.22
2025-04-28T11:33:35.966723-04:00,VIX25,QQQM,194.45
2025-04-28T11:49:17.503656-04:00,VIX25,VOO,507.22
2025-04-28T11:49:17.503680-04:00,VIX25,QQQM,194.45
2025-04-28T12:16:04.028292-04:00,VIX25,VOO,507.22
2025-04-28T12:16:04.028320-04:00,VIX25,QQQM,194.45
2025-04-28T12:44:21.983676-04:00,VIX25,VOO,507.22
2025-04-28T12:44:21.983699-04:00,VIX25,QQQM,194.45
2025-04-28T12:54:15.610860-04:00,VIX25,VOO,507.22
2025-04-28T12:54:15.610884-04:00,VIX25,QQQM,194.45
2025-04-28T13:12:04.956397-04:00,VIX25,VOO,507.22
2025-04-28T13:12:04.956421-04:00,VIX25,QQQM,194.45
2025-04-28T13:30:32.254696-04:00,VIX25,VOO,507.22
2025-04-28T13:30:32.254725-04:00,VIX25,QQQM,194.45
